COL.,DATA TYPE  ,,,,,,,,,,,,,,,
1,Date Time (AST),,,,,,,,,,,,,,,
2,0-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
3,5-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
4,10-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
5,15-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
6,20-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
7,40-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
8,60-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
9,80-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
10,100-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
11,120-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
12,135-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
13,150-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
,"NOTE:,6999 DENOTES MISSING DATA OR INVALID DATA",,,,,,,,,,,,,,,
,",7777 DENOTES UNCOLLECTED DATA ",,,,,,,,,,,,,,,
ID,Year,Month,Day,Hour,Depth.0.cm,Depth.5.cm,Depth.10.cm,Depth.15.cm,Depth.20.cm,Depth.40.cm,Depth.60.cm,Depth.80.cm,Depth.100.cm,Depth.120.cm,Depth.135.cm,Depth.150.cm
139,2011,1,6,18,-4.129,-2.87,-3.321,-2.926,-2.536,-1.825,-0.248,-0.248,7777,-0.557,-0.608,-1.026
140,2011,1,6,19,-4.152,-2.892,-3.401,-2.948,-2.502,-1.846,-0.267,-0.267,7777,-0.577,-0.628,-0.994
141,2011,1,6,20,-4.179,-2.917,-3.427,-2.973,-2.527,-1.817,-0.29,-0.29,7777,-0.6,-0.652,-1.017
142,2011,1,6,21,-4.131,-2.927,-3.38,-2.984,-2.537,-1.881,-0.3,-0.3,7777,-0.609,-0.661,-1.027
143,2011,1,6,22,-4.133,-2.874,-3.382,-2.986,-2.54,-1.829,-0.302,-0.251,7777,-0.611,-0.611,-1.029
144,2011,1,6,23,-4.075,-2.874,-3.382,-2.93,-2.54,-1.829,-0.302,-0.251,7777,-0.56,-0.611,-1.029
145,2011,1,7,0,-4.017,-2.818,-3.326,-2.93,-2.54,-1.829,-0.302,-0.251,7777,-0.56,-0.611,-1.029
146,2011,1,7,1,-4.017,-2.818,-3.326,-2.93,-2.54,-1.829,-0.302,-0.251,7777,-0.56,-0.611,-1.029
147,2011,1,7,2,-3.991,-2.849,-3.357,-2.961,-2.515,-1.859,-0.33,-0.227,7777,-0.588,-0.64,-1.058
148,2011,1,7,3,-3.991,-2.793,-3.357,-2.905,-2.515,-1.859,-0.33,-0.228,7777,-0.588,-0.64,-1.058
149,2011,1,7,4,-3.938,-2.798,-3.305,-2.91,-2.52,-1.809,-0.334,-0.232,7777,-0.541,-0.644,-1.01
150,2011,1,7,5,-3.946,-2.806,-3.313,-2.918,-2.528,-1.817,-0.341,-0.239,7777,-0.548,-0.652,-1.017
151,2011,1,7,6,-3.966,-2.769,-3.276,-2.937,-2.491,-1.835,-0.307,-0.256,7777,-0.565,-0.617,-1.035
152,2011,1,7,7,-3.971,-2.774,-3.338,-2.886,-2.496,-1.84,-0.311,-0.26,7777,-0.569,-0.621,-1.039
153,2011,1,7,8,-3.969,-2.772,-3.279,-2.883,-2.494,-1.837,-0.308,-0.257,7777,-0.566,-0.618,-1.037
154,2011,1,7,9,-3.929,-2.788,-3.296,-2.9,-2.51,-1.853,-0.323,-0.22,7777,-0.529,-0.633,-1.052
155,2011,1,7,10,-3.932,-2.791,-3.299,-2.903,-2.512,-1.855,-0.324,-0.273,7777,-0.583,-0.635,-1.053
156,2011,1,7,11,-3.937,-2.739,-3.303,-2.851,-2.517,-1.859,-0.328,-0.277,7777,-0.587,-0.639,-1.005
157,2011,1,7,12,-3.937,-2.739,-3.303,-2.851,-2.517,-1.859,-0.328,-0.277,7777,-0.587,-0.639,-1.058
158,2011,1,7,13,-3.994,-2.794,-3.302,-2.907,-2.516,-1.859,-0.379,-0.276,7777,-0.586,-0.638,-1.057
159,2011,1,7,14,-3.965,-2.766,-3.274,-2.878,-2.488,-1.831,-0.353,-0.251,7777,-0.56,-0.664,-1.031
160,2011,1,7,15,-3.967,-2.769,-3.276,-2.881,-2.49,-1.834,-0.356,-0.253,7777,-0.562,-0.666,-1.033
161,2011,1,7,16,-3.956,-2.758,-3.265,-2.87,-2.48,-1.823,-0.346,-0.243,7777,-0.552,-0.656,-1.023
162,2011,1,7,17,-3.988,-2.789,-3.239,-2.901,-2.455,-1.853,-0.323,-0.272,7777,-0.581,-0.633,-1.052
